bm_config_id,family,response_structure,dpar_set,bm_formula_shape,q,estimator,bm_admission_tier,ou_v1_target,proposed_ou_fields,test_anchor,final_status,notes
N02,gamma_log,univariate_complete,mu,phylo_1,q1,ML,implemented,location_intercept,mu,tests/testthat/test-positive-continuous-structured-mu.R:516,FROZEN_PENDING_EVIDENCE,positive response
N03,beta,univariate_complete,mu,direct_sd_phylo_1,q1,ML,implemented,direct_sd_location,mu,tests/testthat/test-beta-phylo-direct-sd.R:116,FROZEN_PENDING_EVIDENCE,exact direct SD cell
N04,binomial,univariate_complete,mu,phylo_1,q1,ML,implemented,location_intercept,mu,tests/testthat/test-binomial-phylo.R:37,FROZEN_PENDING_EVIDENCE,0_1 and cbind responses
N05,cumulative_logit,univariate_complete,mu,phylo_1,q1,ML,implemented,location_intercept,mu,tests/testthat/test-cumulative-logit.R:109,FROZEN_PENDING_EVIDENCE,diagnostic BM gate
N06,student,univariate_complete,nu,phylo_1,q1,ML,implemented,shape_intercept,nu,tests/testthat/test-student-location-scale.R:225,FROZEN_PENDING_EVIDENCE,shape field
N07,poisson,univariate_complete,mu,phylo_1_or_1_plus_x,q1,ML,implemented,location_intercept_slope,mu,tests/testthat/test-count-structured-mu.R:772,FROZEN_PENDING_EVIDENCE,ordinary non_ZI only
N08,poisson,univariate_complete,mu,labelled_phylo_1_plus_x,q2,ML,implemented,correlated_intercept_slope,mu,tests/testthat/test-count-structured-mu.R:841,FROZEN_PENDING_EVIDENCE,exact q2 exception
N09,nbinom2,univariate_complete,mu,phylo_1_or_1_plus_x,q1,ML,implemented,location_intercept_slope,mu,tests/testthat/test-count-structured-mu.R:772,FROZEN_PENDING_EVIDENCE,ordinary non_ZI only
N10,nbinom2,univariate_complete,mu,labelled_phylo_1_plus_x,q2,ML,implemented,correlated_intercept_slope,mu,tests/testthat/test-count-structured-mu.R:983,FROZEN_PENDING_EVIDENCE,exact q2 exception
N11,nbinom2,univariate_complete,sigma,phylo_1_plus_x,q1,ML,implemented,scale_intercept_slope,sigma,tests/testthat/test-nbinom2-sigma-structured-recovery.R:36,FROZEN_PENDING_EVIDENCE,includes intercept subset
N12,zero_one_beta,univariate_complete,mu_sigma_zoi_coi,separate_phylo_1_leaves,q1,ML,implemented,separate_endpoint_intercepts,endpoint_specific,tests/testthat/test-zero-one-beta.R:547,FROZEN_PENDING_EVIDENCE,each endpoint separately
X01,multiple_families,univariate_complete,multiple,phylo_interaction,q1,ML,implemented,explicit_refusal,none,tests/testthat/test-phylo-interaction.R:351,FROZEN_PENDING_EVIDENCE,two_tree Kronecker BM has no OU selector
