cell_id	tier	family	dpar	effect	q	est	model_type	discloses	mesh_hint	boundary	next_gate
mc-0123	interval_feasible	biv_gaussian	mu1	structured	q6	ML	2	False	False	"Exact target sd:mu:mu1:spatial(1 | p | site). A profile-likelihood interval for the mu1-side intercept-level spatial random-intercept SD exists and is well-formed under ML on arc4_q6_spatial_mu1_fixture (labelled bivariate q6 block spatial(1 + x + z | p | site, coords = coords) in both mu1 and mu2; 8x9 = 72-site coordinate grid, 20 observations per site = 1440 obs; true mu1 intercept-level spatial SD 0.45, independent of 0.30/0.25 mu1 random-slope SDs (x/z) and 0.40/0.28/0.22 mu2 random-intercept/slope SDs the labelled two-slope q6 grammar requires). Five seeds (2026080301-2026080305) share ONE seed family across the local point-fit gate and this promotion campaign: estimates 0.430/0.398/0.479/0.404/0.429, relative error 0.044/0.116/0.064/0.102/0.048 (mean 0.075), every value <0.35; all five 95% profile intervals bracket the true 0.45 ([0.364,0.517], [0.334,0.481], [0.405,0.575], [0.340,0.487], [0.361,0.516]), convergence 0, pdHess TRUE, profile_boundary FALSE, conf_status ""profile"" throughout. mc-0123 is the mu1 sibling of mc-0124 (already interval_feasible, ev-mc-0124-b3-q6-mu2-interval): B3's own runner (tools/run-b2-q6-proof-profile-cohort.R, source sha a8d068e641105473b3f30723a92c909467a46fac) is unreachable from this tree, so this is an INDEPENDENT fixture for the same target family, not a replay of mc-0124's exact DGP; mc-0124's evidence is separate and is NOT inherited here. The Arc 0 candidate manifest cited tools/b2-q6-q12-admission-contracts.R:b2_q6q12_fixture as this cell's fixture, but that file does not exist anywhere in this tree -- a manifest defect, not evidence for this promotion. The profiled target is ONE component of a labelled six-component spatial block in which 15 correlation parameters are free with true value zero, alongside free sigma1, sigma2 and rho12. Realized finite-sample correlations among the six nominally independent latent fields reached max|cor| 0.336-0.727 across the gate seeds, at and above the |cor| ~0.457 level that has previously produced an alternate local optimum mid-profile-sweep elsewhere; the interval was feasible despite this, which is evidence of robustness for this target, NOT evidence that the design separates the components. Interval-existence claim only -- no coverage, calibration, sibling-target (mu2), whole-q6, provider-wide, REML, or public guidance claim."	Coverage/calibration remain out of scope; a separate goal is required.
mc-0124	interval_feasible	biv_gaussian	mu2	structured	q6	ML	2	False	False	One named direct mu2 response-SD target x frozen high_n72_each20 fixture x seed 20260731 x retained serial receipt only; no sibling target, whole-q6, provider-wide, coverage, calibration, inference-ready, supported, REML, alternate fixture/seed, or public-support claim.	Coverage and calibration for this same named target only; no whole-q6 inheritance.
mc-0199	inference_ready_with_caveats	biv_gaussian	mu1	structured	q2	REML	2	True	True	Joint all-attempt 95% endpoint profile calibration for direct sd_spatial1, sd_spatial2, and latent rho_spatial passes at exact tested M (36 sites x 3) and H (36 x 8) baseline-ring configurations; M is the lowest tested jointly passing rung and L (12 x 3) failed. Fixed-kappa bivariate-Gaussian REML only; no mesh intervals, range, slopes, q4+, non-Gaussian, spatial sigma, derived observed correlations, geometry robustness, or supported-tier claim.	Separate prospective calibration for other geometries or information configurations; supported remains deferred.
mc-0285	inference_ready_with_caveats	gaussian	mu	structured	q1	ML	1	False	True	Intercept-only spatial(1 | site, coords = coords); coordinate-based fixed covariance only, precomputed-mesh spatial (mesh = ...) is planned but not implemented (R/drmTMB.R:8434-8440); SR475 coverage 0.9705, misses 4/10. The default interval is the location-axis bias-corrected small-sample-t Wald direct-SD channel; this is inference-ready with caveats, not nominal or supported. The raw uncorrected log-SD Wald-z sigma channel does not apply.	Preserve the existing model-surface evidence tier.
mc-0286	interval_feasible	gaussian	mu	structured	q1	ML	1	False	True	"Exact target sd:mu:spatial(1 | site). A profile-likelihood interval for the spatial random-intercept SD on gaussian mu (identity link) exists and is well-formed under ML on arc5_gaussian_ml_spatial_mu_one_slope_sd (16-site circular-arc GMRF (kappa = 66.97), route_variant=legacy_02 (one-slope), 20 observations per site (N=320); true spatial SD 0.5). Five-seed Totoro campaign (seed family 2861-2862-2863-2864-2865): estimates 0.451/0.390/0.465/0.542/0.499, all five 95% profile intervals bracket the true 0.5 ([0.269,0.737], [0.245,0.633], [0.307,0.734], [0.354,0.855], [0.322,0.791]), convergence 0, pdHess TRUE, profile_boundary FALSE, conf_status ""profile"" throughout. Targetwise interval feasibility only - five seeds, single stats::profile() call per seed. No coverage, calibration, or Type-I error claim follows. Five seeds establish that a profile interval is obtainable and locates the truth, not that its nominal level is correct. Established at 16 sites x 20 obs under ML only. Profile intervals are wide (upper/lower ratio 2.5-2.8), so 5/5 bracketing is weak evidence about location. Does not transfer to the REML sibling mc-0287 or to other group counts."	Coverage/calibration remain out of scope; a separate goal is required.
mc-0287	inference_ready_with_caveats	gaussian	mu	structured	q1	REML	1	True	False	Pure-mu univariate Gaussian exact REML with constant residual scale `sigma ~ 1` and no sigma random effect. Admits only unlabelled `spatial(1 | group)` or an independent intercept plus one numeric slope `spatial(1 + x | group)`. The Totoro campaign used spatial coordinates, `n_each=20`, and exactly `M={8,16,32}`: 2,400 paired recovery datasets (4,800 ML/REML fits) and 6,000 REML coverage fits (9,000 target profiles); every fit converged, every profile was valid/two-sided/finite, and target coverage was 0.937-0.960 (maximum MCSE 0.00768). The fitted structured SD scale `s_j` gives covariance `s_j^2 K_h`; node `i` has marginal SD `s_j sqrt(K_h[ii])`, which equals `s_j` only when that diagonal entry is one. Coverage is inference-ready with caveats, not nominal. Labelled, slope-only, multiple-slope, matched `mu+sigma`, sigma-random-effect, bivariate, non-Gaussian, estimated-range, fixed-effect-profile, untested-M, and `supported` claims remain excluded.	Supported is withheld; require broader spatial designs and discrete M domains plus nominal-calibration evidence before widening the claim or tier.
mc-0291	interval_feasible	gaussian	mu	structured	q2	ML	1	False	False	"Exact target sd:mu:mu:spatial(1 | p | site). A profile-likelihood interval for the spatial random-intercept SD on gaussian mu (identity link) exists and is well-formed under ML on arc2_gaussian_ml_spatial_mu_q2_sd (labelled spatial(1 | p | site) matched mean-and-scale q2 block, 9x9 grid (81 sites, condition number 344.95), n_each=25 (N=2025), estimator=ML, drm_control(optimizer_preset=""robust""); true spatial SD 0.6). Five-seed Totoro campaign (seed family 101-202-303-404-505): estimates 0.540/0.594/0.574/0.507/0.666, all five 95% profile intervals bracket the true 0.6 ([0.450,0.654], [0.496,0.719], [0.477,0.698], [0.399,0.644], [0.567,0.793]), convergence 0, pdHess TRUE, profile_boundary FALSE, conf_status ""profile"" throughout. Targetwise interval feasibility only - five seeds, single stats::profile() call per seed. No coverage, calibration, or Type-I error claim follows. Five seeds establish that a profile interval is obtainable and locates the truth, not that its nominal level is correct. Evidence was produced under the explicitly labelled provider(1 | p | group) spelling at n_each=25. The paired sigma-half row was evidenced under the unlabelled auto-linked spelling at n_each=12 (and, for animal, n_founders=4). These two halves of the ledger's 'same matched block' do not share an evidence base, and the equivalence of the labelled and unlabelled spellings has not been demonstrated. Marginal mu-side SD only; cross-block correlation not claimed. The sigma-side companion SD (true 0.7) was NOT recovered or verified in the point-fit gate."	Coverage/calibration remain out of scope; a separate goal is required.
mc-0293	interval_feasible	gaussian	mu	structured	q2	ML	1	False	False	interval_feasible only for this exact Gaussian univariate q2 structured mu-plus-sigma slope cell, its named direct latent-SD target, and the frozen 72 groups x 20 observations high-rung fixture with one complete retained unclamped tmbprofile receipt. This establishes computational interval feasibility only: no sibling target, whole-formula, provider-wide, family-wide, coverage, calibration, inference-ready, supported, public, or API claim follows.	Coverage/calibration and any broader-rung, target, formula, provider, or family claim require a separate pre-registered evidence arc.
mc-0294	interval_feasible	gaussian	sigma	structured	q2	ML	1	False	False	interval_feasible only for this exact Gaussian univariate q2 structured mu-plus-sigma slope cell, its named direct latent-SD target, and the frozen 72 groups x 20 observations high-rung fixture with one complete retained unclamped tmbprofile receipt. This establishes computational interval feasibility only: no sibling target, whole-formula, provider-wide, family-wide, coverage, calibration, inference-ready, supported, public, or API claim follows.	Coverage/calibration and any broader-rung, target, formula, provider, or family claim require a separate pre-registered evidence arc.
mc-0406	interval_feasible	nbinom2	mu	structured	q1	ML	7	False	False	interval_feasible only for the named cell x direct q1 structured-intercept SD target x frozen low-rung fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, and bias were not evaluated; this does not establish inference readiness, provider/family/q1-wide support, slopes, sigma, q2plus, labels, REML, other rungs, or public interval guidance. The NB2 animal/relmat pair share one numerical configuration and are not independent corroboration.	Coverage/calibration and any broader-rung, component, or provider claim require a separate pre-registered evidence arc.
mc-0411	interval_feasible	nbinom2	mu	structured	q1	ML	7	False	False	interval_feasible only for this named count-q1 structured mu slope-SD target with its direct retained unclamped tmbprofile receipt and the retained dense-LSS K=12 non-covering control. The intercept sibling is explicitly withheld. Coverage, calibration, bias, replication, inference readiness, provider/family/q1/formula-wide support, and public interval guidance were not evaluated.	Coverage/calibration or any broader formula/provider/family claim requires a separate pre-registered evidence arc.
mc-0417	interval_feasible	nbinom2	mu	structured	q1	ML	7	False	True	"Exact target sd:mu:spatial(1 | site). A profile-likelihood interval for the spatial random-intercept SD on nbinom2 mu (log link) exists and is well-formed under ML on arc4_nbinom2_mu_spatial_relmat_fixture (20-site coordinate-arc GMRF, kappa = 66.2, crossed with a 24-individual AR(1)-relatedness GMRF, kappa = 3.5; 5 observations per (site, id) cell = 2400 obs; true spatial SD 0.6 PRIMARY, simultaneous with an independent true relmat SD 0.5 COMPANION). mc-0417 is an AGGREGATE cell (""exactly two intercept-only providers drawn from {phylo, spatial, animal, relmat} ... may co-occur as primary+secondary q1 fields"", C(4,2) = 6 possible pairs); this promotion BINDS the cell to the ONE pair with recovery evidence on record -- spatial+relmat -- and does NOT cover the other five provider pairs (phylo+spatial, phylo+animal, phylo+relmat, spatial+animal, animal+relmat), which remain unevaluated. Fisher's tightened five-seed gate (seed family 2026080501-2026080505, the SAME shared family used for both the local point-fit gate and this promotion campaign): estimates 0.541/0.718/0.607/0.762/0.688, relative error 0.099/0.197/0.012/0.270/0.147 (mean 0.145), every value <0.35; all five 95% profile intervals bracket the true 0.6 ([0.398,0.777], [0.524,1.037], [0.439,0.884], [0.562,1.094], [0.500,0.999]), convergence 0, pdHess TRUE, profile_boundary FALSE, conf_status ""profile"" throughout. The companion relmat(1 | id) SD is surfaced but NOT part of this claim: at n_id = 24, one seed's recovered relmat SD (0.713 at seed 2026080503 against true 0.5) reflects genuine finite-sample AR(1) draw variance (the realized empirical draw SD is 0.714, almost exactly recovered) diagnosed in tools/arc4-multiprovider-mu-fixtures.R rather than an estimation defect, but it is not gated here. Interval-existence claim only - no coverage, calibration, REML, other-pair, other-geometry, or public guidance claim."	Coverage/calibration remain out of scope; a separate goal is required.
mc-0422	interval_feasible	nbinom2	sigma	structured	q1	ML	7	False	False	Exact target sd:sigma:spatial(1 | site). A profile-likelihood interval for the spatial random-intercept SD on the nbinom2 log(sigma) exists and is well-formed under ML on arc3_nbinom2_sigma_spatial_fixture, a purpose-built provider-specific DGP (9x9 coordinate grid, 81 sites x 25 obs = 2025, true intercept SD 0.55, zero-count-cluster rate 0.000). NB2's structured-sigma gate requires an unlabelled intercept-plus-one-slope term, so a distinct nuisance slope SD is present and is NOT part of this claim; finite-sample covariance between that slope and the profiled intercept is the documented failure mode for this fixture family (it is what sank mc-0424's first cohort), not a footnote. A spiral site layout was rejected during design because it collapsed the intercept SD; the 9x9 grid is load-bearing. Point-fit recovery was gated BEFORE profiling: mean relative error 0.296 over three seeds against a predeclared 0.35 gate. Interval-existence claim only - no coverage, calibration, slope-SD, REML, other-provider, or public guidance claim.	Coverage/calibration remain out of scope; a separate goal is required.
mc-0440	interval_feasible	poisson	mu	structured	q1	ML	6	False	False	interval_feasible only for this named cell x direct structured-q1 target x frozen low-rung source fixture with an exact retained unclamped tmbprofile receipt and the retained dense-LSS K=12 non-covering control. REML, Coverage, calibration, bias, replication, and inference readiness were not evaluated; this is not provider-, family-, q1-, or portfolio-wide support.	Coverage/calibration and any broader family/provider/q1 claim require a separate pre-registered evidence arc.
mc-0441	interval_feasible	poisson	mu	structured	q1	ML	6	False	False	interval_feasible only for this named count-q1 structured mu slope-SD target with its direct retained unclamped tmbprofile receipt and the retained dense-LSS K=12 non-covering control. The intercept sibling is explicitly withheld. Coverage, calibration, bias, replication, inference readiness, provider/family/q1/formula-wide support, and public interval guidance were not evaluated.	Coverage/calibration or any broader formula/provider/family claim requires a separate pre-registered evidence arc.
mc-0494	interval_feasible	student	mu	structured	q1	ML	3	False	False	interval_feasible only for mc-0494 x its two exact direct Student spatial mu SD targets x the frozen n32 x 20 high-information fixture, each with a retained complete unclamped tmbprofile receipt. This establishes neither whole-formula, other target, provider-wide, family-wide, coverage, calibration, inference-ready, public, nor API support.	Coverage/calibration require a separate pre-registered evidence arc.
mc-0596	interval_feasible	zero_one_beta	sigma	structured	q1	ML	15	False	False	"Exact target sd:sigma:spatial(1 | site). A profile-likelihood interval exists and is well-formed under ML for zero_one_beta sigma spatial q1 (true SD 0.45). Five-seed Totoro 135-trace campaign (tools/run-135-trace-campaign.R; source SHA 6618e4b30303f7815b272f709ac2c8d09089132d): estimates 0.502/0.451/0.311/0.451/0.452, all five 95% profile intervals bracket the true 0.45 ([0.333,0.788], [0.304,0.703], [0.187,0.519], [0.299,0.711], [0.301,0.708]), convergence 0, pdHess TRUE, profile_boundary FALSE, conf_status ""profile"", clamp_limited FALSE (computed), both-sides LR crossing and unimodality TRUE throughout. Targetwise interval feasibility only - five seeds, single stats::profile() call per seed (TMB::tmbprofile / grid engine). No coverage, calibration, or Type-I error claim follows. Five seeds establish that a profile interval is obtainable and locates the truth, not that its nominal level is correct. Documented ML sigma-axis low bias at small/moderate group counts; interval bracketing is therefore asymmetrically at risk on the upper endpoint. REML is unavailable for this family (drm_validate_reml_spec admits only Gaussian and binomial)."	Coverage/calibration remain out of scope; q2-plus boundary remains mc-0703; REML unavailable for zero_one_beta.
mc-0672	inference_ready_with_caveats	biv_gaussian	mu2	structured	q2	REML	2	True	True	Joint all-attempt 95% endpoint profile calibration for direct sd_spatial1, sd_spatial2, and latent rho_spatial passes at exact tested M (36 sites x 3) and H (36 x 8) baseline-ring configurations; M is the lowest tested jointly passing rung and L (12 x 3) failed. Fixed-kappa bivariate-Gaussian REML only; no mesh intervals, range, slopes, q4+, non-Gaussian, spatial sigma, derived observed correlations, geometry robustness, or supported-tier claim.	Separate prospective calibration for other geometries or information configurations; supported remains deferred.
