cell_id	evidence_tier	axis	tranche_id	estimator	family_route	dpar	effect_type	structure_provider	primary_evidence_id	primary_evidence_class	primary_run_id	primary_command	primary_replicates	n_evidence_rows	all_evidence_classes	has_interval_receipt	n_distinct_seeds	claim_boundary	next_gate
mc-0101	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	phylo	ev-mc-0101-q6-provider-profile	contract_test	Lane B q6 provider targetwise all-attempt profile batch	Rscript tools/run-lane-b-q6-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260731 --rung=high_information	Three passing exact target attempts; one spatial q6 attempt retained as failed.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q6 provider mu1-intercept SD target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. The retained spatial q6 attempt failed and is not promoted. No other q6 component, provider-wide, whole-formula, coverage,	Coverage/calibration and every broader q6/provider claim require a separate evidence arc.
mc-0107	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	spatial	ev-mc-0107-q2-production-profile-low	contract_test	Lane B production q2 target-wise low-rung profile batch	Rscript tools/run-lane-b-structured-q2-production-profile-gate.R --cell=<exact cell> --seed=20260727 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile per exact target (10/10 pass); animal/relmat ML pairs share numerical DGP realizations.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct q2 structured mu1/mu2 SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, and bias were not evaluated; this does not establish inference readiness, provider/family/q2-wi	Coverage/calibration and any broader q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0108	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	spatial	ev-mc-0108-q2-production-profile-low	contract_test	Lane B production q2 target-wise low-rung profile batch	Rscript tools/run-lane-b-structured-q2-production-profile-gate.R --cell=<exact cell> --seed=20260727 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile per exact target (10/10 pass); animal/relmat ML pairs share numerical DGP realizations.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct q2 structured mu1/mu2 SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, and bias were not evaluated; this does not establish inference readiness, provider/family/q2-wi	Coverage/calibration and any broader q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0109	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	spatial	ev-mc-0109-spatial-q2-slope-profile-low	contract_test	Lane B spatial q2 slope targetwise profile batch	Rscript tools/run-lane-b-spatial-q2-slope-profile-gate.R --cell=<exact cell> --seed=302 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed 8-site x 20-observation profile per exact slope target (2/2 pass).	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named campaign cell x exact spatial q2 slope-SD target x frozen 8-site x 20-observation ML DGP using an exact retained unclamped tmbprofile receipt. Its mu1/mu2 slope sibling remains separately evidenced; this does not establish whole-formula, intercept, provider-wide,	Coverage/calibration and any whole-formula or broader spatial-q2 claim require a separate pre-registered evidence arc.
mc-0110	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	spatial	ev-mc-0110-spatial-q2-slope-profile-low	contract_test	Lane B spatial q2 slope targetwise profile batch	Rscript tools/run-lane-b-spatial-q2-slope-profile-gate.R --cell=<exact cell> --seed=302 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed 8-site x 20-observation profile per exact slope target (2/2 pass).	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named campaign cell x exact spatial q2 slope-SD target x frozen 8-site x 20-observation ML DGP using an exact retained unclamped tmbprofile receipt. Its mu1/mu2 slope sibling remains separately evidenced; this does not establish whole-formula, intercept, provider-wide,	Coverage/calibration and any whole-formula or broader spatial-q2 claim require a separate pre-registered evidence arc.
mc-0113	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma1	structured	spatial	ev-mc-0113-q2plus-scale-profile	contract_test	Lane B q2-plus scale targetwise profile batch	Rscript tools/run-lane-b-q2plus-scale-profile-gate.R --cell=<exact cell> --seed=823113 --rung=high_information	One fixed-seed profile for the exact residual-scale endpoint target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct structured q2 residual-scale endpoint target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling endpoint, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim f	Coverage/calibration and every broader structured scale/provider claim require a separate evidence arc.
mc-0114	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma2	structured	spatial	ev-mc-0114-q2plus-scale-profile	contract_test	Lane B q2-plus scale targetwise profile batch	Rscript tools/run-lane-b-q2plus-scale-profile-gate.R --cell=<exact cell> --seed=823113 --rung=high_information	One fixed-seed profile for the exact residual-scale endpoint target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct structured q2 residual-scale endpoint target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling endpoint, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim f	Coverage/calibration and every broader structured scale/provider claim require a separate evidence arc.
mc-0115	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	spatial	ev-mc-0115-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0116	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	spatial	ev-mc-0116-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0117	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma1	structured	spatial	ev-mc-0117-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0118	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma2	structured	spatial	ev-mc-0118-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0129	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	animal	ev-mc-0129-q2-production-profile-low	contract_test	Lane B production q2 target-wise low-rung profile batch	Rscript tools/run-lane-b-structured-q2-production-profile-gate.R --cell=<exact cell> --seed=20260727 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile per exact target (10/10 pass); animal/relmat ML pairs share numerical DGP realizations.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct q2 structured mu1/mu2 SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, and bias were not evaluated; this does not establish inference readiness, provider/family/q2-wi	Coverage/calibration and any broader q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0130	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	animal	ev-mc-0130-q2-production-profile-low	contract_test	Lane B production q2 target-wise low-rung profile batch	Rscript tools/run-lane-b-structured-q2-production-profile-gate.R --cell=<exact cell> --seed=20260727 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile per exact target (10/10 pass); animal/relmat ML pairs share numerical DGP realizations.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct q2 structured mu1/mu2 SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, and bias were not evaluated; this does not establish inference readiness, provider/family/q2-wi	Coverage/calibration and any broader q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0131	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	animal	ev-mc-0131-animal-q2-slope-highinfo-profile	contract_test	Lane B supplied-A animal q2 slope high-information profile batch	Rscript tools/run-lane-b-animal-q2-slope-highinfo-profile-gate.R --cell=<exact cell> --seed=2026072901 --rung=high --goal-authorized=lane-b-144-goal	One fixed-seed high-information profile per exact endpoint target; all-attempt denominator = 2.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct endpoint slope target x supplied-32x32-A high-information fixture with 32 unique levels and 20 distinct within-level x values, using an exact retained unclamped tmbprofile receipt. The shared endpoint correlation is an explicitly withheld nuisance: 	Coverage/calibration, correlation, pedigree/Ainv, and any broader animal-q2 claim require a separate pre-registered evidence arc.
mc-0132	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	animal	ev-mc-0132-animal-q2-slope-highinfo-profile	contract_test	Lane B supplied-A animal q2 slope high-information profile batch	Rscript tools/run-lane-b-animal-q2-slope-highinfo-profile-gate.R --cell=<exact cell> --seed=2026072901 --rung=high --goal-authorized=lane-b-144-goal	One fixed-seed high-information profile per exact endpoint target; all-attempt denominator = 2.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct endpoint slope target x supplied-32x32-A high-information fixture with 32 unique levels and 20 distinct within-level x values, using an exact retained unclamped tmbprofile receipt. The shared endpoint correlation is an explicitly withheld nuisance: 	Coverage/calibration, correlation, pedigree/Ainv, and any broader animal-q2 claim require a separate pre-registered evidence arc.
mc-0135	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma1	structured	animal	ev-mc-0135-q2plus-scale-profile	contract_test	Lane B q2-plus scale targetwise profile batch	Rscript tools/run-lane-b-q2plus-scale-profile-gate.R --cell=<exact cell> --seed=823113 --rung=high_information	One fixed-seed profile for the exact residual-scale endpoint target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct structured q2 residual-scale endpoint target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling endpoint, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim f	Coverage/calibration and every broader structured scale/provider claim require a separate evidence arc.
mc-0136	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma2	structured	animal	ev-mc-0136-q2plus-scale-profile	contract_test	Lane B q2-plus scale targetwise profile batch	Rscript tools/run-lane-b-q2plus-scale-profile-gate.R --cell=<exact cell> --seed=823113 --rung=high_information	One fixed-seed profile for the exact residual-scale endpoint target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct structured q2 residual-scale endpoint target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling endpoint, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim f	Coverage/calibration and every broader structured scale/provider claim require a separate evidence arc.
mc-0137	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	animal	ev-mc-0137-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0138	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	animal	ev-mc-0138-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0139	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma1	structured	animal	ev-mc-0139-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0140	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma2	structured	animal	ev-mc-0140-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0145	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	animal	ev-mc-0145-q6-provider-profile	contract_test	Lane B q6 provider targetwise all-attempt profile batch	Rscript tools/run-lane-b-q6-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260731 --rung=high_information	Three passing exact target attempts; one spatial q6 attempt retained as failed.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q6 provider mu1-intercept SD target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. The retained spatial q6 attempt failed and is not promoted. No other q6 component, provider-wide, whole-formula, coverage,	Coverage/calibration and every broader q6/provider claim require a separate evidence arc.
mc-0151	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	relmat	ev-mc-0151-q2-production-profile-low	contract_test	Lane B production q2 target-wise low-rung profile batch	Rscript tools/run-lane-b-structured-q2-production-profile-gate.R --cell=<exact cell> --seed=20260727 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile per exact target (10/10 pass); animal/relmat ML pairs share numerical DGP realizations.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct q2 structured mu1/mu2 SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, and bias were not evaluated; this does not establish inference readiness, provider/family/q2-wi	Coverage/calibration and any broader q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0152	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	relmat	ev-mc-0152-q2-production-profile-low	contract_test	Lane B production q2 target-wise low-rung profile batch	Rscript tools/run-lane-b-structured-q2-production-profile-gate.R --cell=<exact cell> --seed=20260727 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile per exact target (10/10 pass); animal/relmat ML pairs share numerical DGP realizations.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct q2 structured mu1/mu2 SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, and bias were not evaluated; this does not establish inference readiness, provider/family/q2-wi	Coverage/calibration and any broader q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0157	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma1	structured	relmat	ev-mc-0157-q2plus-scale-profile	contract_test	Lane B q2-plus scale targetwise profile batch	Rscript tools/run-lane-b-q2plus-scale-profile-gate.R --cell=<exact cell> --seed=823113 --rung=high_information	One fixed-seed profile for the exact residual-scale endpoint target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct structured q2 residual-scale endpoint target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling endpoint, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim f	Coverage/calibration and every broader structured scale/provider claim require a separate evidence arc.
mc-0158	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma2	structured	relmat	ev-mc-0158-q2plus-scale-profile	contract_test	Lane B q2-plus scale targetwise profile batch	Rscript tools/run-lane-b-q2plus-scale-profile-gate.R --cell=<exact cell> --seed=823113 --rung=high_information	One fixed-seed profile for the exact residual-scale endpoint target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct structured q2 residual-scale endpoint target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling endpoint, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim f	Coverage/calibration and every broader structured scale/provider claim require a separate evidence arc.
mc-0159	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	relmat	ev-mc-0159-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0160	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	relmat	ev-mc-0160-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0161	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma1	structured	relmat	ev-mc-0161-q4-provider-profile	contract_test	Lane B q4 provider targetwise profile batch	Rscript tools/run-lane-b-q4-provider-highinfo-profile-gate.R --cell=<exact cell> --seed=20260730 --rung=high_information	One fixed-seed profile for the exact q4 provider component target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
