cell_id	evidence_tier	axis	tranche_id	estimator	family_route	dpar	effect_type	structure_provider	primary_evidence_id	primary_evidence_class	primary_run_id	primary_command	primary_replicates	n_evidence_rows	all_evidence_classes	has_interval_receipt	n_distinct_seeds	claim_boundary	next_gate
mc-0086	inference_ready_with_caveats	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	phylo	ev-mc-0086-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	cell_id=qseries_phylo_q2_mu1_mu2_one_slope; formula: phylo(0 + x | p | species, tree = tree) in mu1 and mu2; fit_status=point_fit, extractor=extractor_ready, bridge=fixture_parity, interval=inference_ready, coverage=inference_ready; structured q2 block (mu1+mu2). The default interval for the exact s	Preserve the existing model-surface evidence tier.
mc-0153	inference_ready_with_caveats	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	relmat	ev-mc-0153-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	cell_id=qseries_relmat_q2_mu1_mu2_one_slope; formula: relmat(0 + x | p | id, K/Q = K/Q) in mu1 and mu2; fit_status=point_fit, extractor=extractor_ready, bridge=fixture_parity, interval=inference_ready, coverage=inference_ready; structured q2 block (mu1+mu2). The default interval for the exact slope-	Preserve the existing model-surface evidence tier.
mc-0154	inference_ready_with_caveats	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	relmat	ev-mc-0154-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	cell_id=qseries_relmat_q2_mu1_mu2_one_slope; formula: relmat(0 + x | p | id, K/Q = K/Q) in mu1 and mu2; fit_status=point_fit, extractor=extractor_ready, bridge=fixture_parity, interval=inference_ready, coverage=inference_ready; structured q2 block (mu1+mu2). The default interval for the exact slope-	Preserve the existing model-surface evidence tier.
mc-0177	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	fixed	none	ev-mc-0177-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Fixed-effect dpar formula (e.g. mu1~x, sigma1~z1, rho12~1); recovers all five dpars within 0.12 abs-error tolerance at n=900, and Wald SEs via summary()/sdreport are demonstrated. No committed CI-coverage simulation found for biv_gaussian fixed effects specifically (docs/design/52-phase-18-bivariate	Preserve the existing model-surface evidence tier.
mc-0178	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	fixed	none	ev-mc-0178-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Fixed-effect dpar formula (e.g. mu1~x, sigma1~z1, rho12~1); recovers all five dpars within 0.12 abs-error tolerance at n=900, and Wald SEs via summary()/sdreport are demonstrated. No committed CI-coverage simulation found for biv_gaussian fixed effects specifically (docs/design/52-phase-18-bivariate	Preserve the existing model-surface evidence tier.
mc-0179	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma1	fixed	none	ev-mc-0179-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Fixed-effect dpar formula (e.g. mu1~x, sigma1~z1, rho12~1); recovers all five dpars within 0.12 abs-error tolerance at n=900, and Wald SEs via summary()/sdreport are demonstrated. No committed CI-coverage simulation found for biv_gaussian fixed effects specifically (docs/design/52-phase-18-bivariate	Preserve the existing model-surface evidence tier.
mc-0180	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma2	fixed	none	ev-mc-0180-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Fixed-effect dpar formula (e.g. mu1~x, sigma1~z1, rho12~1); recovers all five dpars within 0.12 abs-error tolerance at n=900, and Wald SEs via summary()/sdreport are demonstrated. No committed CI-coverage simulation found for biv_gaussian fixed effects specifically (docs/design/52-phase-18-bivariate	Preserve the existing model-surface evidence tier.
mc-0181	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	rho12	fixed	none	ev-mc-0181-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Fixed-effect dpar formula (e.g. mu1~x, sigma1~z1, rho12~1); recovers all five dpars within 0.12 abs-error tolerance at n=900, and Wald SEs via summary()/sdreport are demonstrated. No committed CI-coverage simulation found for biv_gaussian fixed effects specifically (docs/design/52-phase-18-bivariate	Preserve the existing model-surface evidence tier.
mc-0210	interval_feasible	model_surface	legacy-census	REML	biv_gaussian	mu1	structured	phylo	ev-mc-0210-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	sd_phylo1(sp)~x / sd_phylo2(sp)~x direct phylogenetic random-effect-SD formulas (paired with matched phylo(1|p|sp) location means) fit under REML with finite Wald SEs on the sd_phylo coefficients (cov.fixed fallback demonstrated). Interval feasibility demonstrated; no coverage simulation found.	Preserve the existing model-surface evidence tier.
mc-0211	interval_feasible	model_surface	legacy-census	REML	biv_gaussian	mu2	structured	phylo	ev-mc-0211-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	sd_phylo1(sp)~x / sd_phylo2(sp)~x direct phylogenetic random-effect-SD formulas (paired with matched phylo(1|p|sp) location means) fit under REML with finite Wald SEs on the sd_phylo coefficients (cov.fixed fallback demonstrated). Interval feasibility demonstrated; no coverage simulation found.	Preserve the existing model-surface evidence tier.
mc-0223	interval_feasible	model_surface	legacy-census	ML	cumulative_logit	mu	fixed	none	ev-mc-0223-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Pr(y_i<=k)=logit^-1(theta_k - mu_i), mu_i = X_mu[i,] beta_mu, location intercept dropped for identifiability against free cutpoints (R/family.R:302-311). Unit test recovers the x-slope and cutpoints within tolerance and checks confint() returns a finite Wald interval (conf.status=""wald""), so an inte"	Preserve the existing model-surface evidence tier.
mc-0236	interval_feasible	model_surface	legacy-census	ML	gamma	mu	fixed	none	ev-mc-0236-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"log link both dpars (R/methods.R:5041). Fixed mu coefficients match base glm(Gamma(link=""log"")) to tol 1e-4 (test-comparators.R) and drive a control=drm_control(se=TRUE) emmeans reference grid (test-emmeans-methods.R), so the SE/delta-method machinery runs, not just point estimates. No gamma-specifi"	Preserve the existing model-surface evidence tier.
mc-0238	interval_feasible	model_surface	legacy-census	ML	gamma	sigma	fixed	none	ev-mc-0238-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	sigma is the coefficient of variation (shape=1/sigma^2, scale=mu*sigma^2), log link. sigma~z fixed formula verified against an independent dgamma() log-likelihood sum (test-gamma-location-scale.R:121-143) and against qgamma-generated small/large-CV edge cases. Same interval-machinery caveat as mu: S	Preserve the existing model-surface evidence tier.
mc-0240	interval_feasible	model_surface	legacy-census	ML	gamma	mu	ordinary_re_intercept	none	ev-mc-0240-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	validate_positive_continuous_mu_random_terms admits only independent (uncorrelated) intercepts/slopes -- any covariance_label is rejected. Test fits (1|id) (n_id=42): pdHess=TRUE, sd estimate within 0.25 of truth, id-effect vs. true-effect correlation >0.45, and profile_targets() reports profile_rea	Preserve the existing model-surface evidence tier.
mc-0244	interval_feasible	model_surface	legacy-census	ML	gamma	mu	ordinary_re_slope	none	ev-mc-0244-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Independent slope-only `(0 + x | id)` implemented and tested for gamma among 6 non-Gaussian families sharing this harness: pdHess=TRUE, sd estimate >0.03, slope-effect vs. truth correlation >0.25, profile_targets() confirms a sd:mu:(0+x|id) profile target exists. Correlated mean-scale block `(1 | p 	Preserve the existing model-surface evidence tier.
mc-0264	supported	model_surface	legacy-census	ML	gaussian	mu	ordinary_re_intercept	none	ev-mc-0264-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Board fit_status=supported for (1 | id) in mu; kept as the structured-RE arc's baseline comparator, not itself part of the structured campaign.	Preserve the existing model-surface evidence tier.
mc-0268	supported	model_surface	legacy-census	ML	gaussian	mu	ordinary_re_slope	none	ev-mc-0268-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Board cell covers the independent (0 + x | id) slope only; correlated (1 + x | id) and q>2 unlabelled multi-slope blocks (1 + x1 + x2 | id) are also implemented and tested (tests/testthat/test-gaussian-random-intercepts.R:722-909) but not separately boarded.	Preserve the existing model-surface evidence tier.
mc-0272	inference_ready_with_caveats	model_surface	legacy-census	ML	gaussian	mu	structured	phylo	ev-mc-0272-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Intercept-only phylo(1 | species, tree = tree); Nibi SR475 retained-denominator coverage 0.9832 (MCSE 0.0059), 4/4 misses. The default interval is the location-axis bias-corrected small-sample-t Wald direct-SD channel; this is inference-ready with caveats, not nominal or supported. The raw uncorrect	Preserve the existing model-surface evidence tier.
mc-0276	inference_ready_with_caveats	model_surface	legacy-census	ML	gaussian	sigma	structured	phylo	ev-mc-0276-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	One-slope; g=8 deployment evidence, raw uncorrected log-SD Wald-z coverage 0.9388 (intercept SD) and 0.9935 (slope SD); intercept misses strongly upper-tail asymmetric (5 lower vs 56 upper); profile is diagnostic-only at g=8 (sigma:x profile finite rate 0.7579). The location-axis bias+t correction d	Preserve the existing model-surface evidence tier.
mc-0285	inference_ready_with_caveats	model_surface	legacy-census	ML	gaussian	mu	structured	spatial	ev-mc-0285-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Intercept-only spatial(1 | site, coords = coords); coordinate-based fixed covariance only, precomputed-mesh spatial (mesh = ...) is planned but not implemented (R/drmTMB.R:8434-8440); SR475 coverage 0.9705, misses 4/10. The default interval is the location-axis bias-corrected small-sample-t Wald dir	Preserve the existing model-surface evidence tier.
mc-0301	inference_ready_with_caveats	model_surface	legacy-census	ML	gaussian	sigma	structured	animal	ev-mc-0301-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	One-slope; g=8 SR1000 evidence, raw uncorrected log-SD Wald-z coverage 0.9633 (intercept SD) and 0.9895 (slope SD); misses asymmetric (intercept 26 lower vs 10 upper); profile is diagnostic-only at g=8. The location-axis bias+t correction does not apply to sigma; this is inference-ready with caveats	Preserve the existing model-surface evidence tier.
mc-0309	inference_ready_with_caveats	model_surface	legacy-census	ML	gaussian	mu	structured	relmat	ev-mc-0309-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Intercept-only relmat(1 | id, K = K); K-matrix, not Q bridge marshalling; SR475 coverage 0.9789, misses 3/7. The default interval is the location-axis bias-corrected small-sample-t Wald direct-SD channel; this is inference-ready with caveats, not nominal or supported. The raw uncorrected log-SD Wald	Preserve the existing model-surface evidence tier.
mc-0313	inference_ready_with_caveats	model_surface	legacy-census	ML	gaussian	sigma	structured	relmat	ev-mc-0313-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	One-slope; g=8, raw uncorrected log-SD Wald-z coverage 0.9416 (intercept SD) and 0.9957 (slope SD); intercept misses upper-tail asymmetric (5 lower vs 53 upper); profile is diagnostic-only at g=8. The location-axis bias+t correction does not apply to sigma; this is inference-ready with caveats, not 	Preserve the existing model-surface evidence tier.
mc-0326	interval_feasible	model_surface	legacy-census	ML	hurdle_nbinom2	mu	fixed	none	ev-mc-0326-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Point recovery test (n=1800, one seed) within tolerance 0.18 vs true beta_mu; confint() returns finite Wald CIs (conf.status==""wald"") for all 3 mu coefficients -- CI machinery works but no repeated-seed coverage study or q-series cell backs this route, so not claimed inference_ready."	Preserve the existing model-surface evidence tier.
mc-0342	interval_feasible	model_surface	legacy-census	ML	hurdle_nbinom2	sigma	fixed	none	ev-mc-0342-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"sigma coefficient recovered within tolerance 0.25 (n=1800); included in the same Wald confint() call; predict(dpar=""sigma"")/sigma() cross-checked against closed-form NB2 dispersion arithmetic (lines 127-179). No repeated-seed coverage study or q-series cell backs this route."	Preserve the existing model-surface evidence tier.
mc-0358	interval_feasible	model_surface	legacy-census	ML	hurdle_nbinom2	hu	fixed	none	ev-mc-0358-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"hu coefficient recovered within tolerance 0.35 (n=1800); predict(dpar=""hu"") sanity-checked in (0,1) and against plogis(link); beta_zi included in the same Wald confint() call. No repeated-seed coverage study or q-series cell backs this route."	Preserve the existing model-surface evidence tier.
mc-0374	interval_feasible	model_surface	legacy-census	ML	lognormal	mu	fixed	none	ev-mc-0374-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Single-seed point recovery plus a single-replicate (n_rep=1) Wald-interval smoke confirming the CI mechanism runs without error; no multi-seed coverage study exists for this cell. emmeans() on lognormal fits is explicitly rejected (tests/testthat/test-emmeans-methods.R:657-683), so marginal-means wo	Preserve the existing model-surface evidence tier.
mc-0376	interval_feasible	model_surface	legacy-census	ML	lognormal	sigma	fixed	none	ev-mc-0376-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Same fit and same single-replicate smoke evidence as the mu-fixed row; no multi-seed coverage study.	Preserve the existing model-surface evidence tier.
mc-0378	interval_feasible	model_surface	legacy-census	ML	lognormal	mu	ordinary_re_intercept	none	ev-mc-0378-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Single-replicate smoke exercises both Wald and profile interval machinery without error; no multi-seed coverage evidence (this is not a q-series structured cell, so the board in structured-re-q-series-support-cells.tsv does not apply).	Preserve the existing model-surface evidence tier.
mc-0397	inference_ready_with_caveats	model_surface	legacy-census	ML	nbinom2	mu	fixed	none	ev-mc-0397-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Wald mean-coefficient intervals calibrated — docs/dev-log/simulation-artifacts/2026-07-09-nongaussian-unstructured-coverage-pilot (phase 2)	Preserve the existing model-surface evidence tier.
mc-0398	inference_ready_with_caveats	model_surface	legacy-census	ML	nbinom2	sigma	fixed	none	ev-mc-0398-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Wald scale-coefficient intervals calibrated — docs/dev-log/simulation-artifacts/2026-07-09-nongaussian-unstructured-coverage-pilot (phase 2)	Preserve the existing model-surface evidence tier.
mc-0427	inference_ready_with_caveats	model_surface	legacy-census	ML	poisson	mu	fixed	none	ev-mc-0427-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Wald mean-coefficient intervals calibrated (finite-rate 1.0, near-nominal incl. low-count stress) — docs/dev-log/simulation-artifacts/2026-07-09-nongaussian-unstructured-coverage-pilot	Preserve the existing model-surface evidence tier.
mc-0456	interval_feasible	model_surface	legacy-census	ML	skew_normal	mu	fixed	none	ev-mc-0456-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Fixed-effect location formula is required (exactly one mu entry, R/drmTMB.R:3601-3605). Wald confint()/profile_targets() return finite mu intervals via the generic per-dpar mechanism (directly test-confirmed for the sibling nu dpar at test-skew-normal-location-scale.R:282-357; same code path applies	Preserve the existing model-surface evidence tier.
mc-0458	interval_feasible	model_surface	legacy-census	ML	skew_normal	sigma	fixed	none	ev-mc-0458-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Public sigma is the response SD (R/family.R:90-99: ""stats::sigma() returns SD[y] = sigma""), unlike student's native scale parameter. Same evidentiary basis as mu-fixed: point recovery plus mechanically finite (uncalibrated) Wald CIs; no formal coverage campaign. REML unavailable regardless (see REML"	Preserve the existing model-surface evidence tier.
mc-0484	interval_feasible	model_surface	legacy-census	ML	student	mu	fixed	none	ev-mc-0484-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Location formula required (exactly one mu entry, R/drmTMB.R:3370-3372). Recovery bias check on coef(fit,""mu"") passes. Fixed-effect Wald CI/profile-target row generated by the generic per-dpar loop in drm_profile_targets(); directly test-confirmed for the sibling nu dpar (test-profile-targets.R:1408-"	Preserve the existing model-surface evidence tier.
mc-0485	interval_feasible	model_surface	legacy-census	ML	student	sigma	fixed	none	ev-mc-0485-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	sigma is the Student-t scale parameter, not SD[y] (roxygen note R/family.R:46-53). Defaults to sigma~1 when omitted (R/drmTMB.R:3382-3386). Distributional-scale profile-target row generated generically for log-link scalar sigma intercepts.	Preserve the existing model-surface evidence tier.
mc-0486	interval_feasible	model_surface	legacy-census	ML	student	nu	fixed	none	ev-mc-0486-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"nu = 2 + exp(eta_nu), a deliberate finite-variance floor (nu>2); cannot represent nu<=2. Defaults to nu~1 when omitted. Directly tested: confint(fit, parm=""nu:x"", method=""wald"") returns interval_status ""ok"" (test-profile-targets.R:1428-1444). check_drm() has a dedicated ""student_nu"" boundary-proximi"	Preserve the existing model-surface evidence tier.
mc-0487	interval_feasible	model_surface	legacy-census	ML	student	mu	ordinary_re_intercept	none	ev-mc-0487-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Only unlabelled independent intercepts, e.g. (1 | id); labelled/correlated forms such as (1 | p | id) are rejected (""random intercepts"", test-student-location-scale.R:195-202). Recovery: cor(u_id, truth)>0.45, sd bias<0.30; profile_targets() sd:mu:(1|id) row has profile_ready=TRUE (test-student-loca"	Preserve the existing model-surface evidence tier.
mc-0488	interval_feasible	model_surface	legacy-census	ML	student	mu	ordinary_re_slope	none	ev-mc-0488-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Only unlabelled independent numeric slopes, e.g. (0 + x | id); (1 + x | id) correlated slope form is rejected (""Only independent"", test-student-location-scale.R:187-194). Recovery: cor(slope_effects, truth)>0.25 (single seed, n_id=26,n_each=8). profile_targets() sd:mu:(0+x|id) row confirmed present "	Preserve the existing model-surface evidence tier.
mc-0508	interval_feasible	model_surface	legacy-census	ML	truncated_nbinom2	mu	fixed	none	ev-mc-0508-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Point recovery (|bias|<0.16 vs beta_mu, single seed n=1600, test-truncated-nbinom2-location-scale.R:56-71) plus a Wald confint() call that returns conf.status==""wald"" for all fixed-effect parms (line 101). log(mu) link R/methods.R:5056; CPP fixed-effect path src/drmTMB.cpp:3291-3335 (model_type==11,"	Preserve the existing model-surface evidence tier.
mc-0509	interval_feasible	model_surface	legacy-census	ML	truncated_nbinom2	sigma	fixed	none	ev-mc-0509-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Same test as mu-fixed row: |bias|<0.22 vs beta_sigma (line 71) and Wald confint() covers fixef:sigma:(Intercept)/z (lines 93-101). log(sigma) link R/methods.R:5056. No coverage/MCSE study found.	Preserve the existing model-surface evidence tier.
mc-0510	interval_feasible	model_surface	legacy-census	ML	truncated_nbinom2	mu	ordinary_re_intercept	none	ev-mc-0510-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	bf(count ~ x + (1 | id), sigma ~ z) fits with cor(id_effects, truth)>0.35 and |sd_id bias|<0.25 (location-scale test). Dedicated Phase-18 artifact lane (opt-in GH Actions task) emits Wald AND profile intervals for sd:mu:(1|id), but only at n_rep=1 smoke scale; docs/dev-log/after-task/2026-05-27-trun	Preserve the existing model-surface evidence tier.
mc-0531	interval_feasible	model_surface	legacy-census	ML	tweedie	mu	fixed	none	ev-mc-0531-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Point recovery (single seed) and feasible Wald CIs (n_rep=1 smoke grid, 5 conditions); NOT a coverage-gate run. docs/dev-log/after-task/2026-05-28-phase18-tweedie-fixed-effect-grid-writer.md:26,59 states these are 'smoke artifacts, not coverage claims'.	Preserve the existing model-surface evidence tier.
mc-0533	interval_feasible	model_surface	legacy-census	ML	tweedie	sigma	fixed	none	ev-mc-0533-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Same evidentiary basis as mu-fixed: point recovery + feasible (uncoverage-validated) Wald CIs. Public sigma = sqrt(Tweedie dispersion phi) per R/family.R:161-166.	Preserve the existing model-surface evidence tier.
mc-0535	interval_feasible	model_surface	legacy-census	ML	tweedie	nu	fixed	none	ev-mc-0535-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	nu is restricted to intercept-only by a DEDICATED validator (R/drmTMB.R:4278-4286), not merely a deferred-RE gate: nu ~ z (a fixed covariate, no bar term) is rejected too, same as nu ~ (1|id). R/family.R:167-169 documents predictor-dependent nu as 'planned but unsupported'.	Preserve the existing model-surface evidence tier.
mc-0559	interval_feasible	model_surface	legacy-census	ML	zero_one_beta	mu	fixed	none	ev-mc-0559-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Point-fit recovery (max abs bias < 0.10 vs truth) and a working Wald confint() (ci$conf.status=='wald') both demonstrated in-repo; no simulation-based coverage/MCSE campaign exists yet, only phase18 smoke infra per docs/dev-log/after-task/2026-05-26-zero-one-beta-fixed-effect-artifacts-slices-1339-1	Preserve the existing model-surface evidence tier.
mc-0560	interval_feasible	model_surface	legacy-census	ML	zero_one_beta	sigma	fixed	none	ev-mc-0560-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Point-fit recovery (max abs bias < 0.12) and working Wald confint() demonstrated; same smoke-only coverage caveat as mu.	Preserve the existing model-surface evidence tier.
mc-0561	interval_feasible	model_surface	legacy-census	ML	zero_one_beta	zoi	fixed	none	ev-mc-0561-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Point-fit recovery (max abs bias < 0.12) and working Wald confint() demonstrated; same smoke-only coverage caveat as mu.	Preserve the existing model-surface evidence tier.
mc-0562	interval_feasible	model_surface	legacy-census	ML	zero_one_beta	coi	fixed	none	ev-mc-0562-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Point-fit recovery (max abs bias < 0.22, loosest tolerance of the four dpars) and working Wald confint() demonstrated; boundary-heavy identification makes coi noisiest; same smoke-only coverage caveat.	Preserve the existing model-surface evidence tier.
mc-0623	interval_feasible	model_surface	legacy-census	ML	zi_nbinom2	mu	fixed	none	ev-mc-0623-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Fixed-effect log-link mu; single-seed n=1800 fit recovers beta_mu within tolerance 0.12 and confint() returns Wald CIs with correct fixef:mu labels (conf.status==""wald""). Not a multi-seed coverage study, so this stops short of inference_ready_with_caveats."	Preserve the existing model-surface evidence tier.
mc-0625	interval_feasible	model_surface	legacy-census	ML	zi_nbinom2	sigma	fixed	none	ev-mc-0625-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Fixed-effect log-link overdispersion sigma; same single-seed fit recovers beta_sigma within tolerance 0.18 and confint() returns Wald fixef:sigma rows.	Preserve the existing model-surface evidence tier.
mc-0627	interval_feasible	model_surface	legacy-census	ML	zi_nbinom2	zi	fixed	none	ev-mc-0627-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Fixed-effect logit-link zero-inflation probability; same single-seed fit recovers beta_zi within tolerance 0.45 and confint() returns Wald fixef:zi rows. Note: emmeans() explicitly rejects zi_nbinom2 fits (tests/testthat/test-emmeans-methods.R:790-799), a separate methods-coverage gap not captured b	Preserve the existing model-surface evidence tier.
mc-0657	interval_feasible	model_surface	legacy-census	ML	zi_poisson	mu	fixed	none	ev-mc-0657-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Point-fit recovery (|coef-truth|<0.12 tolerance) plus an exact independent-likelihood match test; confint() returns Wald intervals for beta_mu and is tested (conf.status==""wald""), but no repeated-sample coverage study backs the interval. Link mu=log confirmed at R/methods.R:5054."	Preserve the existing model-surface evidence tier.
