"lane_id","workflow_lane","family_group","family_route","dpar","dependence","block_q","admission_status","existing_actions_task","next_autonomous_action","supervision_boundary"
"nbinom2_sigma_random_intercept","family_surface","counts","nbinom2()","sigma","ordinary_group","sigma_intercept","ready_smoke","first_wave_summary","Keep as separate overdispersion-random-intercept smoke lane","NB2 sigma slopes or structured sigma need design"
"poisson_phylo_q1_formal","structured_dependence","counts","poisson(link = ""log"")","mu","phylo","q1_structured_intercept","smoke_formal_admission","poisson_phylo_q1_formal","Run or audit opt-in formal-admission shards before promotion","No broad recovery claim without passing artifact audit"
"nbinom2_phylo_q1_formal","structured_dependence","counts","nbinom2()","mu","phylo","q1_structured_intercept","hold_smoke_only","nbinom2_phylo_q1_formal","Use completed shard audit and profile diagnostics before any new formal plan","Low-count and boundary profile failures block promotion"
"count_structured_q1","structured_dependence","counts","poisson(link = ""log"");nbinom2()","mu","spatial;animal;relmat","q1_structured_intercept","diagnostic_only","count_structured_q1","Use boundary and profile-gate audits before formal recovery claims","Count structured slopes labels and simultaneous layers need design"
"count_labelled_q2_q4","correlation_blocks","counts","poisson(link = ""log"");nbinom2()","mu;sigma","ordinary_group;structured","q2_q4_labelled_covariance","blocked","none","Keep in failure ledger","Requires likelihood extractor interval and recovery design"
"zi_hurdle_count_random_effects","family_surface","counts","zi_poisson;zi_nbinom2;hurdle_nbinom2","zi;hu;mu;sigma","ordinary_group;structured","inflation_hurdle_random_effects","blocked","none","Keep fixed-effect zi and hu tasks separate from random effects","Requires family-specific likelihood and boundary design"
"bounded_mu_random_effects","random_slopes","bounded_binary_like","beta();beta_binomial()","mu","ordinary_group","intercept_and_independent_slope","ready_source_test","bounded_response_mu_random_intercept","Audit current intercept artifacts and source-tested slope rows","Correlated slopes sigma random effects structured effects and exact-boundary beta need design"
"zero_one_beta_fixed","family_surface","bounded_binary_like","zero_one_beta()","mu;sigma;zoi;coi","none","fixed_effect","ready_grid","zero_one_beta_fixed_effect","Run or audit fixed-effect zero-one beta artifacts","Zero-one random effects and covariance need design"
"positive_continuous_fixed","family_surface","positive_continuous","lognormal();Gamma(link = ""log"")","mu;sigma","none","fixed_effect","ready_grid","positive_continuous_fixed_effect","Keep lognormal and Gamma fixed-effect grids in first-wave reports","Structured positive-continuous models need design"
"positive_continuous_mu_random_effects","random_slopes","positive_continuous","lognormal();Gamma(link = ""log"")","mu","ordinary_group","intercept_and_independent_slope","ready_source_test","positive_continuous_mu_random_intercept","Audit current intercept artifacts and source-tested slope rows","Correlated slopes sigma random effects and structured effects need design"
"student_mu_random_effects","random_slopes","heavy_tail","student()","mu","ordinary_group","intercept_and_independent_slope","ready_source_test","student_mu_random_intercept","Audit current intercept artifacts and source-tested slope rows","Student nu random effects and structured effects need design"
"student_nu_random_effects","family_surface","heavy_tail","student()","nu","ordinary_group;structured","shape_random_effect","blocked","none","Keep shape random effects in failure ledger","Requires shape-specific likelihood recovery and interval design"
"tweedie_fixed_effect","family_surface","semicontinuous","tweedie()","mu;sigma;nu","none","fixed_effect","ready_grid","tweedie_fixed_effect","Run or audit fixed-effect Tweedie artifacts only","Tweedie random effects and predictor-dependent nu need design"
"truncated_nbinom2_mu_random_effects","random_slopes","positive_counts","truncated_nbinom2()","mu","ordinary_group","intercept_and_independent_slope","ready_source_test","truncated_nbinom2_mu_random_intercept","Audit current intercept artifacts and source-tested slope rows","Correlated slopes sigma random effects hurdle random effects and structured paths need design"
"ordinal_fixed_effect","family_surface","ordinal","cumulative_logit()","mu","none","fixed_effect","ready_grid","ordinal_fixed_effect","Run or audit fixed-effect ordinal artifacts","Ordinal random effects scale discrimination and structured ordinal models need design"
"ordinal_random_effects","family_surface","ordinal","cumulative_logit()","mu","ordinary_group;structured","random_effect","blocked","none","Keep ordinal mixed models in failure ledger","Requires ordinal mixed-model likelihood and comparator design"
"meta_v_known_covariance","family_surface","meta_gaussian","gaussian() with meta_V(V = V)","mu;sigma","known_sampling_covariance","known_V","ready_grid","first_wave_summary","Keep known V as input covariance and separate from latent relatedness","Proportional V and phylo-plus-study designs need separate gates"
"mixed_response_bivariate","family_surface","mixed_bivariate","mixed families","multiple","ordinary_group;structured;residual","mixed_joint_likelihood","design_only","none","Keep mixed-response combinations as failure-ledger or design rows","Requires joint likelihood prediction simulation extractors intervals and examples"
